cell,city,geometry,wkt
881e628923fffff,Пулини,"POLYGON ((28.27876137824966 50.48468076966608, 28.275701269522305 50.48062412644909, 28.280202286492084 50.476912013130146, 28.287763044118247 50.4772563853243, 28.29082362316882 50.481312869467416, 28.286322974379885 50.48502514049682, 28.27876137824966 50.48468076966608))","POLYGON ((28.27876137824966 50.48468076966608, 28.275701269522305 50.48062412644909, 28.280202286492084 50.476912013130146, 28.287763044118247 50.4772563853243, 28.29082362316882 50.481312869467416, 28.286322974379885 50.48502514049682, 28.27876137824966 50.48468076966608))"
881e628929fffff,Пулини,"POLYGON ((28.265255067149738 50.495814814390194, 28.26219516915307 50.491758440920364, 28.26669771088327 50.48804734041021, 28.274259782886464 50.48839245554528, 28.277320151755436 50.492448669999646, 28.272817977858857 50.49615992834102, 28.265255067149738 50.495814814390194))","POLYGON ((28.265255067149738 50.495814814390194, 28.26219516915307 50.491758440920364, 28.26669771088327 50.48804734041021, 28.274259782886464 50.48839245554528, 28.277320151755436 50.492448669999646, 28.272817977858857 50.49615992834102, 28.265255067149738 50.495814814390194))"
881e62892bfffff,Пулини,"POLYGON ((28.277320151755436 50.492448669999646, 28.274259782886464 50.48839245554528, 28.27876137824966 50.48468076966608, 28.286322974379885 50.48502514049682, 28.28938381371751 50.489081195874085, 28.28488258656617 50.4927930395043, 28.277320151755436 50.492448669999646))","POLYGON ((28.277320151755436 50.492448669999646, 28.274259782886464 50.48839245554528, 28.27876137824966 50.48468076966608, 28.286322974379885 50.48502514049682, 28.28938381371751 50.489081195874085, 28.28488258656617 50.4927930395043, 28.277320151755436 50.492448669999646))"
881e76c5d5fffff,Пустомити,"POLYGON ((23.89820152982199 49.70489450325488, 23.895409845600064 49.700670888973, 23.900105506117242 49.69708492971235, 23.907592642990508 49.69772241147025, 23.910384908196935 49.70194589733403, 23.905689455646336 49.70553202986975, 23.89820152982199 49.70489450325488))","POLYGON ((23.89820152982199 49.70489450325488, 23.895409845600064 49.700670888973, 23.900105506117242 49.69708492971235, 23.907592642990508 49.69772241147025, 23.910384908196935 49.70194589733403, 23.905689455646336 49.70553202986975, 23.89820152982199 49.70489450325488))"
881e76c5cbfffff,Пустомити,"POLYGON ((23.884111346631634 49.71564992983036, 23.881320053748862 49.711426597856864, 23.886017119422835 49.707841723106014, 23.89350527055722 49.70848000698767, 23.896297144958886 49.71270321063066, 23.891600286808 49.716288258734274, 23.884111346631634 49.71564992983036))","POLYGON ((23.884111346631634 49.71564992983036, 23.881320053748862 49.711426597856864, 23.886017119422835 49.707841723106014, 23.89350527055722 49.70848000698767, 23.896297144958886 49.71270321063066, 23.891600286808 49.716288258734274, 23.884111346631634 49.71564992983036))"
881e76c4e9fffff,Пустомити,"POLYGON ((23.925243378335516 49.735086905816075, 23.9224489986313 49.73086573097873, 23.927145231836185 49.72728016289907, 23.934635635738296 49.72791559637072, 23.937430596210017 49.73213664251584, 23.932734572113034 49.73572238389324, 23.925243378335516 49.735086905816075))","POLYGON ((23.925243378335516 49.735086905816075, 23.9224489986313 49.73086573097873, 23.927145231836185 49.72728016289907, 23.934635635738296 49.72791559637072, 23.937430596210017 49.73213664251584, 23.932734572113034 49.73572238389324, 23.925243378335516 49.735086905816075))"
881e76c5c3fffff,Пустомити,"POLYGON ((23.886017119422835 49.707841723106014, 23.88322601654634 49.70361798049504, 23.887922483358064 49.70003265008306, 23.895409845600064 49.700670888973, 23.89820152982199 49.70489450325488, 23.89350527055722 49.70848000698767, 23.886017119422835 49.707841723106014))","POLYGON ((23.886017119422835 49.707841723106014, 23.88322601654634 49.70361798049504, 23.887922483358064 49.70003265008306, 23.895409845600064 49.700670888973, 23.89820152982199 49.70489450325488, 23.89350527055722 49.70848000698767, 23.886017119422835 49.707841723106014))"
8811b2193dfffff,Путивль,"POLYGON ((33.84278086636188 51.34446353327589, 33.839421851658 51.34064492732589, 33.84360494955308 51.336798862389706, 33.85114650336712 51.336771280178766, 33.85450582247705 51.340589704231974, 33.850323283478204 51.34443589239261, 33.84278086636188 51.34446353327589))","POLYGON ((33.84278086636188 51.34446353327589, 33.839421851658 51.34064492732589, 33.84360494955308 51.336798862389706, 33.85114650336712 51.336771280178766, 33.85450582247705 51.340589704231974, 33.850323283478204 51.34443589239261, 33.84278086636188 51.34446353327589))"
8811b256dbfffff,Путивль,"POLYGON ((33.887212799590515 51.351953914340264, 33.88385155223795 51.34813738460333, 33.8880318880916 51.344290436665496, 33.895572911066495 51.34425989556862, 33.89893446142713 51.348076243300426, 33.89475468591606 51.351923314133906, 33.887212799590515 51.351953914340264))","POLYGON ((33.887212799590515 51.351953914340264, 33.88385155223795 51.34813738460333, 33.8880318880916 51.344290436665496, 33.895572911066495 51.34425989556862, 33.89893446142713 51.348076243300426, 33.89475468591606 51.351923314133906, 33.887212799590515 51.351953914340264))"
8811b2561bfffff,Путивль,"POLYGON ((33.84525255840496 51.321467000475415, 33.84189455951796 51.31764704652729, 33.84607608419071 51.313799809729645, 33.85361504926431 51.31377240379431, 33.85697335227315 51.31759217585528, 33.85279238619773 51.32143953573845, 33.84525255840496 51.321467000475415))","POLYGON ((33.84525255840496 51.321467000475415, 33.84189455951796 51.31764704652729, 33.84607608419071 51.313799809729645, 33.85361504926431 51.31377240379431, 33.85697335227315 51.31759217585528, 33.85279238619773 51.32143953573845, 33.84525255840496 51.321467000475415))"
8811b21927fffff,Путивль,"POLYGON ((33.84442884687994 51.3291333514092, 33.841070509453225 51.32531384674474, 33.84525255840496 51.321467000475415, 33.85279238619773 51.32143953573845, 33.85615102784097 51.325258858512555, 33.851969537586164 51.32910582791369, 33.84442884687994 51.3291333514092))","POLYGON ((33.84442884687994 51.3291333514092, 33.841070509453225 51.32531384674474, 33.84525255840496 51.321467000475415, 33.85279238619773 51.32143953573845, 33.85615102784097 51.325258858512555, 33.851969537586164 51.32910582791369, 33.84442884687994 51.3291333514092))"
