store_location_id,company_id,position,country,state,latitude,longitude,localization,status,main_destination_id,pickup_destinations_ids,shopNumber,old_slid,is_warehouse,city_id,is_kik,is_pickup,shopFormat,lang_code,name,description,city,pickup_address,pickup_phone,pickup_time,meta_title,meta_description,time_delivery,name_sort,country_title,id,text
2840,1,17230,UA,30,50.400402,30.651416,,A,10,10,2840,0,N,9825,Y,Y,МАКСІ,uk,"просп. Бажана Миколи, 38",,Київ,,380671383908,ПН - НД 8:00 - 21:00,,,3,,Україна,2840,"Аврора #2840 Київ, просп. Бажана Миколи, 38"
2848,1,16850,UA,30,50.398974,30.632767,,A,10,10,2848,0,N,9825,Y,Y,СТАНДАРТ,uk,"просп. Бажана Миколи, 1",,Київ,,380672252058,ПН - НД 8:00 - 21:00,,,3,,Україна,2848,"Аврора #2848 Київ, просп. Бажана Миколи, 1"
2849,1,17090,UA,30,50.50044,30.498989,,A,10,10,2849,0,N,9825,Y,Y,СТАНДАРТ,uk,"пл. Оболонська, 4-А",,Київ,,380672481022,ПН - НД 8:00 - 21:00,,,3,,Україна,2849,"Аврора #2849 Київ, пл. Оболонська, 4-А"
2865,1,17380,UA,30,50.38767,30.471272,,A,10,10,2865,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Юлії Здановської, 40-А",,Київ,,380671067063,ПН - НД 8:00 - 21:00,,,3,,Україна,2865,"Аврора #2865 Київ, вул. Юлії Здановської, 40-А"
2866,1,17680,UA,30,50.436007,30.489812,,A,10,10,2866,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Митрополита Василя Липківського, 1-А",,Київ,,380673927374,ПН - НД 8:00 - 21:00,,,3,,Україна,2866,"Аврора #2866 Київ, вул. Митрополита Василя Липківського, 1-А"
2874,1,17590,UA,30,50.500423,30.579437,,A,10,10,2874,0,N,9825,Y,Y,МАКСІ,uk,"вул. Бальзака Оноре де, 6",,Київ,,380671091704,ПН - НД 8:00 - 21:00,,,3,,Україна,2874,"Аврора #2874 Київ, вул. Бальзака Оноре де, 6"
2881,1,17510,UA,30,50.398309,30.617836,,A,10,10,2881,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Срібнокільська, 11",,Київ,,380671051639,ПН - НД 8:00 - 21:00,,,3,,Україна,2881,"Аврора #2881 Київ, вул. Срібнокільська, 11"
2883,1,18300,UA,30,50.439404,30.483769,,A,10,10,2883,0,N,9825,Y,Y,МАКСІ,uk,"вул. Огієнка Івана, 15-А",,Київ,,380972018510,ПН - НД 8:00 - 21:00,,,,,Україна,2883,"Аврора #2883 Київ, вул. Огієнка Івана, 15-А"
2888,1,17820,UA,30,50.529669,30.60122,,A,10,10,2888,0,N,9825,Y,Y,МАКСІ,uk,"вул. Радунська, 40",,Київ,,380674170367,ПН - НД 8:00 - 21:00,,,3,,Україна,2888,"Аврора #2888 Київ, вул. Радунська, 40"
2908,1,18050,UA,30,50.47093893103706,30.47832011717207,,A,10,10,2908,0,N,9825,Y,Y,МАКСІ,uk,"вул. Загорівська, 17-21",,Київ,,380671172596,ПН - НД 8:00 - 21:00,,,,,Україна,2908,"Аврора #2908 Київ, вул. Загорівська, 17-21"
2926,1,18070,UA,30,50.50228,30.590997,,A,10,10,2926,0,N,9825,Y,Y,СТАНДАРТ,uk,"просп. Червоної Калини, 15",,Київ,,380972012993,ПН - НД 8:00 - 21:00,,,,,Україна,2926,"Аврора #2926 Київ, просп. Червоної Калини, 15"
2987,1,18970,UA,30,50.500759,30.427063,,A,10,10,2987,0,N,9825,Y,N,МАКСІ,uk,"просп. Європейського Союзу, 41-Д",,Київ,,380970001867,ПН - НД 8:00 - 21:00,,,,,Україна,2987,"Аврора #2987 Київ, просп. Європейського Союзу, 41-Д"
2997,1,18930,UA,30,50.50578,30.473913,,A,10,10,2997,0,N,9825,Y,N,МАКСІ,uk,"вул. Лугова (Оболонський р-н), 12",,Київ,,380970002694,ПН - НД 8:00 - 21:00,,,,,Україна,2997,"Аврора #2997 Київ, вул. Лугова (Оболонський р-н), 12"
3011,1,18630,UA,30,50.467731,30.485987,,A,10,10,3011,0,N,9825,Y,Y,СТАНДАРТ,uk,"вул. Татарська , 27/4",,Київ,,380981659432,ПН - НД 8:00 - 21:00,,,,,Україна,3011,"Аврора #3011 Київ, вул. Татарська , 27/4"
3044,1,19120,UA,30,50.431417,30.634229,,A,10,10,3044,0,N,9825,N,N,МАКСІ,uk,"шосе Харківське, 19",,Київ,,380970002763,ПН - НД 8:00 - 21:00,,,,,Україна,3044,"Аврора #3044 Київ, шосе Харківське, 19"
