store_location_id,company_id,position,country,state,latitude,longitude,localization,status,main_destination_id,pickup_destinations_ids,shopNumber,old_slid,is_warehouse,city_id,is_kik,is_pickup,shopFormat,lang_code,name,description,city,pickup_address,pickup_phone,pickup_time,meta_title,meta_description,time_delivery,country_title,id,text
130,1,4850,UA,12,47.572801,34.372435,,A,10,10,130,0,N,15827,N,Y,СТАНДАРТ,uk,"просп. Трубників, 33",,Нікополь,,380675387214,ПН - НД 8:00 - 20:00,,,3,Україна,130,"Аврора #130 Нікополь, просп. Трубників, 33"
132,1,5720,UA,74,50.911797,31.115475,,A,10,10,132,0,N,10313,N,Y,СТАНДАРТ,uk,"вул. Соборності, 21",,Козелець,,380673019792,ПН - НД 8:00 - 20:00,,,3,Україна,132,"Аврора #132 Козелець, вул. Соборності, 21"
133,1,450,UA,12,47.8987009,33.2945073,,A,10,10,133,0,N,11401,N,Y,СТАНДАРТ,uk,"вул. Алмазна, 14",,Кривий Ріг,,380675302369,ПН - НД 8:00 - 21:00,,,3,Україна,133,"Аврора #133 Кривий Ріг, вул. Алмазна, 14"
135,1,4720,UA,12,47.964074,33.456885,,A,10,10,135,0,N,11401,N,Y,СТАНДАРТ,uk,"мкрн. Гірницький, 19-А",,Кривий Ріг,,380675487827,ПН - НД 8:00 - 21:00,,,3,Україна,135,"Аврора #135 Кривий Ріг, мкрн. Гірницький, 19-А"
137,1,1480,UA,63,49.29266,35.7533,,A,10,10,137,0,N,9793,N,Y,СТАНДАРТ,uk,"вул. Захисників України, 2-К",,Кегичівка,,380675301788,ПН - НД 7:00 - 21:00,,,3,Україна,137,"Аврора #137 Кегичівка, вул. Захисників України, 2-К"
138,1,4880,UA,35,48.793779,31.648668,,A,10,10,138,0,N,16557,N,Y,СТАНДАРТ,uk,"вул. Соборності, 103",,Новомиргород,,380675302854,ПН - НД 8:00 - 20:00,,,3,Україна,138,"Аврора #138 Новомиргород, вул. Соборності, 103"
139,1,5470,UA,74,51.517028,31.238079,,A,10,10,139,0,N,26230,N,Y,СТАНДАРТ,uk,"вул. Красносільського, 59-А",,Чернігів,,380671768558,ПН - НД 8:00 - 21:00,,,3,Україна,139,"Аврора #139 Чернігів, вул. Красносільського, 59-А"
140,1,1460,UA,32,49.53577,30.877582,,A,10,10,140,0,N,1564,N,Y,СТАНДАРТ,uk,"вул. Миколаївська, 92",,Богуслав,,380675302826,ПН - НД 8:00 - 20:00,,,3,Україна,140,"Аврора #140 Богуслав, вул. Миколаївська, 92"
141,1,2260,UA,74,51.050501,31.889147,,A,10,10,141,0,N,15822,N,Y,СТАНДАРТ,uk,"вул. Станіслава Прощенка, 4",,Ніжин,,380675033247,ПН - НД 7:00 - 21:00,,,3,Україна,141,"Аврора #141 Ніжин, вул. Станіслава Прощенка, 4"
142,1,4820,UA,12,47.638032,34.660228,,A,10,10,142,0,N,14011,N,Y,СТАНДАРТ,uk,"вул. Київська, 147",,Марганець,,380675363036,ПН - НД 8:00 - 19:00,,,3,Україна,142,"Аврора #142 Марганець, вул. Київська, 147"
143,1,4910,UA,35,48.671336,33.121185,,A,10,10,143,0,N,17458,N,Y,СТАНДАРТ,uk,"вул. Григорія Усика, 56",,Олександрія,,380674065934,ПН - НД 8:00 - 21:00,,,3,Україна,143,"Аврора #143 Олександрія, вул. Григорія Усика, 56"
144,1,1500,UA,32,50.51046,31.01532,,A,10,10,144,0,N,5053,N,Y,СТАНДАРТ,uk,"вул. Київська, 167-Г",,Гоголів,,380675362962,ПН - НД 8:00 - 21:00,,,3,Україна,144,"Аврора #144 Гоголів, вул. Київська, 167-Г"
145,1,6530,UA,63,49.400716,36.213386,,A,10,10,145,0,N,18401,N,Y,СТАНДАРТ,uk,"вул. Єдності, б/№",,Первомайський,,380675202274,ПН - НД 8:00 - 21:00,,,3,Україна,145,"Аврора #145 Первомайський, вул. Єдності, б/№"
146,1,5210,UA,12,48.920757,34.915642,,A,10,10,146,0,N,13229,N,Y,СТАНДАРТ,uk,"вул. Центральна, 14",,Магдалинівка,,380675362650,ПН - НД 8:00 - 20:00,,,3,Україна,146,"Аврора #146 Магдалинівка, вул. Центральна, 14"
147,1,490,UA,12,47.900818,33.39382,,A,10,10,147,0,N,11401,N,Y,СТАНДАРТ,uk,"просп. Металургів, 28-А",,Кривий Ріг,,380675362649,ПН - НД 8:00 - 21:00,,,3,Україна,147,"Аврора #147 Кривий Ріг, просп. Металургів, 28-А"
148,1,9640,UA,32,49.86507,30.82155,,A,10,10,148,0,N,9146,N,Y,СТАНДАРТ,uk,"вул. Незалежності, 2-А",,Кагарлик,,380675362648,ПН - НД 8:00 - 20:00,,,3,Україна,148,"Аврора #148 Кагарлик, вул. Незалежності, 2-А"
151,1,4950,UA,35,48.68153,33.114075,,A,10,10,151,0,N,17458,N,Y,СТАНДАРТ,uk,"просп. Соборний, 4",,Олександрія,,380675362641,ПН - НД 8:00 - 21:00,,,3,Україна,151,"Аврора #151 Олександрія, просп. Соборний, 4"
152,1,1840,UA,12,48.514248,34.582551,,A,10,10,152,0,N,9452,N,Y,СТАНДАРТ,uk,"вул. Звенигородська, 49",,Кам'янське,,380675362640,ПН - НД 8:00 - 21:00,,,3,Україна,152,"Аврора #152 Кам'янське, вул. Звенигородська, 49"
155,1,7790,UA,53,49.336517,34.315963,,A,10,10,155,0,N,16205,N,Y,СТАНДАРТ,uk,"вул. Центральна, 17",,Нові Санжари,,380675362608,ПН - НД 7:00 - 20:00,,,3,Україна,155,"Аврора #155 Нові Санжари, вул. Центральна, 17"
157,1,7800,UA,53,50.24397,32.5196,,A,10,10,157,0,N,18906,N,Y,СТАНДАРТ,uk,"вул. Соборна, 25",,Пирятин,,380675362571,ПН - НД 8:00 - 21:00,,,3,Україна,157,"Аврора #157 Пирятин, вул. Соборна, 25"
